Mes,CÃ³rdobas por USD
31-Diciembre-2021,35.5210
01-Mayo-2022,35.7549
02-Mayo-2022,35.7568
03-Mayo-2022,35.7588
04-Mayo-2022,35.7607
05-Mayo-2022,35.7627
06-Mayo-2022,35.7646
07-Mayo-2022,35.7665
08-Mayo-2022,35.7685
01-Septiembre-2022,35.9943
02-Septiembre-2022,35.9963
03-Septiembre-2022,35.9982
04-Septiembre-2022,36.0002
05-Septiembre-2022,36.0021
06-Septiembre-2022,36.0041
07-Septiembre-2022,36.0060
08-Septiembre-2022,36.0080
09-Septiembre-2022,36.0099
10-Septiembre-2022,36.0119
11-Septiembre-2022,36.0138
12-Septiembre-2022,36.0158
13-Septiembre-2022,36.0177
14-Septiembre-2022,36.0197
15-Septiembre-2022,36.0217
16-Septiembre-2022,36.0236
17-Septiembre-2022,36.0256
18-Septiembre-2022,36.0275
19-Septiembre-2022,36.0295
20-Septiembre-2022,36.0314
21-Septiembre-2022,36.0334
22-Septiembre-2022,36.0353
23-Septiembre-2022,36.0373
24-Septiembre-2022,36.0392
25-Septiembre-2022,36.0412
26-Septiembre-2022,36.0432
27-Septiembre-2022,36.0451
28-Septiembre-2022,36.0471
29-Septiembre-2022,36.0490
30-Septiembre-2022,36.0510
01-Noviembre-2022,36.1136
02-Noviembre-2022,36.1156
03-Noviembre-2022,36.1175
04-Noviembre-2022,36.1195
05-Noviembre-2022,36.1215
06-Noviembre-2022,36.1234
07-Noviembre-2022,36.1254
08-Noviembre-2022,36.1273
09-Noviembre-2022,36.1293
10-Noviembre-2022,36.1313
11-Noviembre-2022,36.1332
12-Noviembre-2022,36.1352
13-Noviembre-2022,36.1371
14-Noviembre-2022,36.1391
15-Noviembre-2022,36.1411
16-Noviembre-2022,36.1430
17-Noviembre-2022,36.1450
18-Noviembre-2022,36.1469
19-Noviembre-2022,36.1489
20-Noviembre-2022,36.1509
21-Noviembre-2022,36.1528
22-Noviembre-2022,36.1548
23-Noviembre-2022,36.1568
24-Noviembre-2022,36.1587
25-Noviembre-2022,36.1607
26-Noviembre-2022,36.1626
27-Noviembre-2022,36.1646
28-Noviembre-2022,36.1666
29-Noviembre-2022,36.1685
30-Noviembre-2022,36.1705
09-Mayo-2022,35.7704
01-Enero-2022,35.5229
02-Enero-2022,35.5248
03-Enero-2022,35.5267
04-Enero-2022,35.5287
05-Enero-2022,35.5306
06-Enero-2022,35.5325
07-Enero-2022,35.5344
08-Enero-2022,35.5364
09-Enero-2022,35.5383
10-Enero-2022,35.5402
11-Enero-2022,35.5422
12-Enero-2022,35.5441
13-Enero-2022,35.5460
14-Enero-2022,35.5479
15-Enero-2022,35.5499
16-Enero-2022,35.5518
17-Enero-2022,35.5537
18-Enero-2022,35.5557
19-Enero-2022,35.5576
20-Enero-2022,35.5595
21-Enero-2022,35.5614
22-Enero-2022,35.5634
23-Enero-2022,35.5653
24-Enero-2022,35.5672
25-Enero-2022,35.5692
26-Enero-2022,35.5711
27-Enero-2022,35.5730
28-Enero-2022,35.5750
29-Enero-2022,35.5769
30-Enero-2022,35.5788
31-Enero-2022,35.5807
10-Mayo-2022,35.7724
11-Mayo-2022,35.7743
12-Mayo-2022,35.7762
13-Mayo-2022,35.7782
14-Mayo-2022,35.7801
15-Mayo-2022,35.7821
16-Mayo-2022,35.7840
17-Mayo-2022,35.7860
18-Mayo-2022,35.7879
19-Mayo-2022,35.7898
20-Mayo-2022,35.7918
21-Mayo-2022,35.7937
22-Mayo-2022,35.7957
23-Mayo-2022,35.7976
24-Mayo-2022,35.7995
25-Mayo-2022,35.8015
26-Mayo-2022,35.8034
27-Mayo-2022,35.8054
28-Mayo-2022,35.8073
29-Mayo-2022,35.8093
30-Mayo-2022,35.8112
31-Mayo-2022,35.8131
01-Agosto-2022,35.9338
02-Agosto-2022,35.9358
03-Agosto-2022,35.9377
04-Agosto-2022,35.9397
05-Agosto-2022,35.9416
06-Agosto-2022,35.9436
07-Agosto-2022,35.9455
08-Agosto-2022,35.9475
09-Agosto-2022,35.9494
10-Agosto-2022,35.9514
11-Agosto-2022,35.9533
12-Agosto-2022,35.9553
13-Agosto-2022,35.9572
14-Agosto-2022,35.9592
15-Agosto-2022,35.9611
16-Agosto-2022,35.9631
17-Agosto-2022,35.9650
18-Agosto-2022,35.9670
19-Agosto-2022,35.9689
20-Agosto-2022,35.9709
21-Agosto-2022,35.9728
22-Agosto-2022,35.9748
23-Agosto-2022,35.9767
24-Agosto-2022,35.9787
25-Agosto-2022,35.9806
26-Agosto-2022,35.9826
27-Agosto-2022,35.9845
28-Agosto-2022,35.9865
29-Agosto-2022,35.9884
30-Agosto-2022,35.9904
31-Agosto-2022,35.9923
01-Marzo-2022,35.6368
02-Marzo-2022,35.6387
03-Marzo-2022,35.6406
04-Marzo-2022,35.6426
05-Marzo-2022,35.6445
06-Marzo-2022,35.6464
07-Marzo-2022,35.6484
08-Marzo-2022,35.6503
09-Marzo-2022,35.6522
10-Marzo-2022,35.6542
11-Marzo-2022,35.6561
12-Marzo-2022,35.6580
13-Marzo-2022,35.6600
14-Marzo-2022,35.6619
15-Marzo-2022,35.6638
16-Marzo-2022,35.6658
17-Marzo-2022,35.6677
18-Marzo-2022,35.6697
19-Marzo-2022,35.6716
20-Marzo-2022,35.6735
21-Marzo-2022,35.6755
22-Marzo-2022,35.6774
23-Marzo-2022,35.6793
24-Marzo-2022,35.6813
25-Marzo-2022,35.6832
26-Marzo-2022,35.6851
27-Marzo-2022,35.6871
28-Marzo-2022,35.6890
29-Marzo-2022,35.6909
30-Marzo-2022,35.6929
31-Marzo-2022,35.6948
01-Abril-2022,35.6968
02-Abril-2022,35.6987
03-Abril-2022,35.7006
04-Abril-2022,35.7026
05-Abril-2022,35.7045
06-Abril-2022,35.7064
07-Abril-2022,35.7084
08-Abril-2022,35.7103
09-Abril-2022,35.7123
10-Abril-2022,35.7142
11-Abril-2022,35.7161
12-Abril-2022,35.7181
13-Abril-2022,35.7200
14-Abril-2022,35.7219
15-Abril-2022,35.7239
16-Abril-2022,35.7258
17-Abril-2022,35.7278
18-Abril-2022,35.7297
19-Abril-2022,35.7316
20-Abril-2022,35.7336
21-Abril-2022,35.7355
22-Abril-2022,35.7374
23-Abril-2022,35.7394
24-Abril-2022,35.7413
25-Abril-2022,35.7433
26-Abril-2022,35.7452
27-Abril-2022,35.7471
28-Abril-2022,35.7491
29-Abril-2022,35.7510
30-Abril-2022,35.7530
01-Junio-2022,35.8151
02-Junio-2022,35.8170
03-Junio-2022,35.8190
04-Junio-2022,35.8209
05-Junio-2022,35.8229
06-Junio-2022,35.8248
07-Junio-2022,35.8267
08-Junio-2022,35.8287
09-Junio-2022,35.8306
10-Junio-2022,35.8326
11-Junio-2022,35.8345
12-Junio-2022,35.8365
13-Junio-2022,35.8384
14-Junio-2022,35.8404
15-Junio-2022,35.8423
16-Junio-2022,35.8442
17-Junio-2022,35.8462
18-Junio-2022,35.8481
19-Junio-2022,35.8501
20-Junio-2022,35.8520
21-Junio-2022,35.8540
22-Junio-2022,35.8559
23-Junio-2022,35.8579
24-Junio-2022,35.8598
25-Junio-2022,35.8618
26-Junio-2022,35.8637
27-Junio-2022,35.8656
28-Junio-2022,35.8676
29-Junio-2022,35.8695
30-Junio-2022,35.8715
01-Octubre-2022,36.0529
02-Octubre-2022,36.0549
03-Octubre-2022,36.0568
01-Febrero-2022,35.5827
02-Febrero-2022,35.5846
03-Febrero-2022,35.5865
04-Febrero-2022,35.5885
05-Febrero-2022,35.5904
06-Febrero-2022,35.5923
07-Febrero-2022,35.5943
08-Febrero-2022,35.5962
09-Febrero-2022,35.5981
10-Febrero-2022,35.6001
11-Febrero-2022,35.6020
12-Febrero-2022,35.6039
13-Febrero-2022,35.6058
14-Febrero-2022,35.6078
15-Febrero-2022,35.6097
16-Febrero-2022,35.6116
17-Febrero-2022,35.6136
18-Febrero-2022,35.6155
19-Febrero-2022,35.6174
20-Febrero-2022,35.6194
21-Febrero-2022,35.6213
22-Febrero-2022,35.6232
23-Febrero-2022,35.6252
24-Febrero-2022,35.6271
25-Febrero-2022,35.6290
26-Febrero-2022,35.6310
27-Febrero-2022,35.6329
28-Febrero-2022,35.6348
01-Julio-2022,35.8734
02-Julio-2022,35.8754
03-Julio-2022,35.8773
04-Julio-2022,35.8793
05-Julio-2022,35.8812
06-Julio-2022,35.8832
07-Julio-2022,35.8851
08-Julio-2022,35.8871
09-Julio-2022,35.8890
10-Julio-2022,35.8909
11-Julio-2022,35.8929
12-Julio-2022,35.8948
13-Julio-2022,35.8968
14-Julio-2022,35.8987
15-Julio-2022,35.9007
16-Julio-2022,35.9026
17-Julio-2022,35.9046
18-Julio-2022,35.9065
19-Julio-2022,35.9085
20-Julio-2022,35.9104
21-Julio-2022,35.9124
22-Julio-2022,35.9143
23-Julio-2022,35.9163
24-Julio-2022,35.9182
25-Julio-2022,35.9202
26-Julio-2022,35.9221
27-Julio-2022,35.9241
28-Julio-2022,35.9260
29-Julio-2022,35.9280
30-Julio-2022,35.9299
31-Julio-2022,35.9319
04-Octubre-2022,36.0588
05-Octubre-2022,36.0608
06-Octubre-2022,36.0627
07-Octubre-2022,36.0647
08-Octubre-2022,36.0666
09-Octubre-2022,36.0686
10-Octubre-2022,36.0705
11-Octubre-2022,36.0725
12-Octubre-2022,36.0745
13-Octubre-2022,36.0764
14-Octubre-2022,36.0784
15-Octubre-2022,36.0803
16-Octubre-2022,36.0823
17-Octubre-2022,36.0842
18-Octubre-2022,36.0862
19-Octubre-2022,36.0882
20-Octubre-2022,36.0901
21-Octubre-2022,36.0921
22-Octubre-2022,36.0940
23-Octubre-2022,36.0960
24-Octubre-2022,36.0979
25-Octubre-2022,36.0999
26-Octubre-2022,36.1019
27-Octubre-2022,36.1038
28-Octubre-2022,36.1058
29-Octubre-2022,36.1077
30-Octubre-2022,36.1097
31-Octubre-2022,36.1117
31-Diciembre-2022,36.2314
30-Diciembre-2022,36.2294
29-Diciembre-2022,36.2274
28-Diciembre-2022,36.2255
27-Diciembre-2022,36.2235
26-Diciembre-2022,36.2215
25-Diciembre-2022,36.2196
24-Diciembre-2022,36.2176
23-Diciembre-2022,36.2156
22-Diciembre-2022,36.2137
21-Diciembre-2022,36.2117
20-Diciembre-2022,36.2098
19-Diciembre-2022,36.2078
18-Diciembre-2022,36.2058
17-Diciembre-2022,36.2039
16-Diciembre-2022,36.2019
15-Diciembre-2022,36.1999
14-Diciembre-2022,36.1980
13-Diciembre-2022,36.1960
12-Diciembre-2022,36.1940
11-Diciembre-2022,36.1921
10-Diciembre-2022,36.1901
09-Diciembre-2022,36.1882
08-Diciembre-2022,36.1862
07-Diciembre-2022,36.1842
06-Diciembre-2022,36.1823
05-Diciembre-2022,36.1803
04-Diciembre-2022,36.1783
03-Diciembre-2022,36.1764
02-Diciembre-2022,36.1744
01-Diciembre-2022,36.1724
31-Enero-2023,36.2924
30-Enero-2023,36.2904
29-Enero-2023,36.2884
28-Enero-2023,36.2865
27-Enero-2023,36.2845
26-Enero-2023,36.2825
25-Enero-2023,36.2805
24-Enero-2023,36.2786
23-Enero-2023,36.2766
22-Enero-2023,36.2746
21-Enero-2023,36.2727
20-Enero-2023,36.2707
19-Enero-2023,36.2687
18-Enero-2023,36.2668
17-Enero-2023,36.2648
16-Enero-2023,36.2628
15-Enero-2023,36.2609
14-Enero-2023,36.2589
13-Enero-2023,36.2569
12-Enero-2023,36.2550
11-Enero-2023,36.2530
10-Enero-2023,36.2510
09-Enero-2023,36.2491
08-Enero-2023,36.2471
07-Enero-2023,36.2451
06-Enero-2023,36.2432
05-Enero-2023,36.2412
04-Enero-2023,36.2392
03-Enero-2023,36.2373
02-Enero-2023,36.2353
01-Enero-2023,36.2333
01-Febrero-2023,36.2933
02-Febrero-2023,36.2943
03-Febrero-2023,36.2953
04-Febrero-2023,36.2963
05-Febrero-2023,36.2973
06-Febrero-2023,36.2983
07-Febrero-2023,36.2993
08-Febrero-2023,36.3003
09-Febrero-2023,36.3013
10-Febrero-2023,36.3023
11-Febrero-2023,36.3032
12-Febrero-2023,36.3042
13-Febrero-2023,36.3052
14-Febrero-2023,36.3062
15-Febrero-2023,36.3072
16-Febrero-2023,36.3082
17-Febrero-2023,36.3092
18-Febrero-2023,36.3102
19-Febrero-2023,36.3112
20-Febrero-2023,36.3121
21-Febrero-2023,36.3131
22-Febrero-2023,36.3141
23-Febrero-2023,36.3151
24-Febrero-2023,36.3161
25-Febrero-2023,36.3171
26-Febrero-2023,36.3181
27-Febrero-2023,36.3191
28-Febrero-2023,36.3201
01-Marzo-2023,36.3211
02-Marzo-2023,36.3221
03-Marzo-2023,36.3230
04-Marzo-2023,36.3240
05-Marzo-2023,36.3250
06-Marzo-2023,36.3260
07-Marzo-2023,36.3270
08-Marzo-2023,36.3280
09-Marzo-2023,36.3290
10-Marzo-2023,36.3300
11-Marzo-2023,36.3310
12-Marzo-2023,36.3320
13-Marzo-2023,36.3329
14-Marzo-2023,36.3339
15-Marzo-2023,36.3349
16-Marzo-2023,36.3359
17-Marzo-2023,36.3369
18-Marzo-2023,36.3379
19-Marzo-2023,36.3389
20-Marzo-2023,36.3399
21-Marzo-2023,36.3409
22-Marzo-2023,36.3419
23-Marzo-2023,36.3429
24-Marzo-2023,36.3438
25-Marzo-2023,36.3448
26-Marzo-2023,36.3458
27-Marzo-2023,36.3468
28-Marzo-2023,36.3478
29-Marzo-2023,36.3488
30-Marzo-2023,36.3498
31-Marzo-2023,36.3508
01-Abril-2023,36.3518
02-Abril-2023,36.3528
03-Abril-2023,36.3537
04-Abril-2023,36.3547
05-Abril-2023,36.3557
06-Abril-2023,36.3567
07-Abril-2023,36.3577
08-Abril-2023,36.3587
09-Abril-2023,36.3597
10-Abril-2023,36.3607
11-Abril-2023,36.3617
12-Abril-2023,36.3627
13-Abril-2023,36.3637
14-Abril-2023,36.3647
15-Abril-2023,36.3656
16-Abril-2023,36.3666
17-Abril-2023,36.3676
18-Abril-2023,36.3686
19-Abril-2023,36.3696
20-Abril-2023,36.3706
21-Abril-2023,36.3716
22-Abril-2023,36.3726
23-Abril-2023,36.3736
24-Abril-2023,36.3746
25-Abril-2023,36.3756
26-Abril-2023,36.3766
27-Abril-2023,36.3775
28-Abril-2023,36.3785
29-Abril-2023,36.3795
30-Abril-2023,36.3805
01-Mayo-2023,36.3815
02-Mayo-2023,36.3825
03-Mayo-2023,36.3835
04-Mayo-2023,36.3845
05-Mayo-2023,36.3855
06-Mayo-2023,36.3865
07-Mayo-2023,36.3875
08-Mayo-2023,36.3885
09-Mayo-2023,36.3894
10-Mayo-2023,36.3904
11-Mayo-2023,36.3914
12-Mayo-2023,36.3924
13-Mayo-2023,36.3934
14-Mayo-2023,36.3944
15-Mayo-2023,36.3954
16-Mayo-2023,36.3964
17-Mayo-2023,36.3974
18-Mayo-2023,36.3984
19-Mayo-2023,36.3994
20-Mayo-2023,36.4004
21-Mayo-2023,36.4014
22-Mayo-2023,36.4023
23-Mayo-2023,36.4033
24-Mayo-2023,36.4043
25-Mayo-2023,36.4053
26-Mayo-2023,36.4063
27-Mayo-2023,36.4073
28-Mayo-2023,36.4083
29-Mayo-2023,36.4093
30-Mayo-2023,36.4103
31-Mayo-2023,36.4113
01-Junio-2023,36.4123
02-Junio-2023,36.4133
03-Junio-2023,36.4143
04-Junio-2023,36.4152
05-Junio-2023,36.4162
06-Junio-2023,36.4172
07-Junio-2023,36.4182
08-Junio-2023,36.4192
09-Junio-2023,36.4202
10-Junio-2023,36.4212
11-Junio-2023,36.4222
12-Junio-2023,36.4232
13-Junio-2023,36.4242
14-Junio-2023,36.4252
15-Junio-2023,36.4262
16-Junio-2023,36.4272
17-Junio-2023,36.4282
18-Junio-2023,36.4291
19-Junio-2023,36.4301
20-Junio-2023,36.4311
21-Junio-2023,36.4321
22-Junio-2023,36.4331
23-Junio-2023,36.4341
24-Junio-2023,36.4351
25-Junio-2023,36.4361
26-Junio-2023,36.4371
27-Junio-2023,36.4381
28-Junio-2023,36.4391
29-Junio-2023,36.4401
30-Junio-2023,36.4411
01-Julio-2023,36.4421
02-Julio-2023,36.4431
03-Julio-2023,36.4440
04-Julio-2023,36.4450
05-Julio-2023,36.4460
06-Julio-2023,36.4470
07-Julio-2023,36.4480
08-Julio-2023,36.4490
09-Julio-2023,36.4500
10-Julio-2023,36.4510
11-Julio-2023,36.4520
12-Julio-2023,36.4530
13-Julio-2023,36.4540
14-Julio-2023,36.4550
15-Julio-2023,36.4560
16-Julio-2023,36.4570
17-Julio-2023,36.4580
18-Julio-2023,36.4590
19-Julio-2023,36.4599
20-Julio-2023,36.4609
21-Julio-2023,36.4619
22-Julio-2023,36.4629
23-Julio-2023,36.4639
24-Julio-2023,36.4649
25-Julio-2023,36.4659
26-Julio-2023,36.4669
27-Julio-2023,36.4679
28-Julio-2023,36.4689
29-Julio-2023,36.4699
30-Julio-2023,36.4709
31-Julio-2023,36.4719
01-Agosto-2023,36.4729
02-Agosto-2023,36.4739
03-Agosto-2023,36.4749
04-Agosto-2023,36.4759
05-Agosto-2023,36.4768
06-Agosto-2023,36.4778
07-Agosto-2023,36.4788
08-Agosto-2023,36.4798
09-Agosto-2023,36.4808
10-Agosto-2023,36.4818
11-Agosto-2023,36.4828
12-Agosto-2023,36.4838
13-Agosto-2023,36.4848
14-Agosto-2023,36.4858
15-Agosto-2023,36.4868
16-Agosto-2023,36.4878
17-Agosto-2023,36.4888
18-Agosto-2023,36.4898
19-Agosto-2023,36.4908
20-Agosto-2023,36.4918
21-Agosto-2023,36.4928
22-Agosto-2023,36.4938
23-Agosto-2023,36.4948
24-Agosto-2023,36.4957
25-Agosto-2023,36.4967
26-Agosto-2023,36.4977
27-Agosto-2023,36.4987
28-Agosto-2023,36.4997
29-Agosto-2023,36.5007
30-Agosto-2023,36.5017
31-Agosto-2023,36.5027
01-Septiembre-2023,36.5037
02-Septiembre-2023,36.5047
03-Septiembre-2023,36.5057
04-Septiembre-2023,36.5067
05-Septiembre-2023,36.5077
06-Septiembre-2023,36.5087
07-Septiembre-2023,36.5097
08-Septiembre-2023,36.5107
09-Septiembre-2023,36.5117
10-Septiembre-2023,36.5127
11-Septiembre-2023,36.5137
12-Septiembre-2023,36.5147
13-Septiembre-2023,36.5156
14-Septiembre-2023,36.5166
15-Septiembre-2023,36.5176
16-Septiembre-2023,36.5186
17-Septiembre-2023,36.5196
18-Septiembre-2023,36.5206
19-Septiembre-2023,36.5216
20-Septiembre-2023,36.5226
21-Septiembre-2023,36.5236
22-Septiembre-2023,36.5246
23-Septiembre-2023,36.5256
24-Septiembre-2023,36.5266
25-Septiembre-2023,36.5276
26-Septiembre-2023,36.5286
27-Septiembre-2023,36.5296
28-Septiembre-2023,36.5306
29-Septiembre-2023,36.5316
30-Septiembre-2023,36.5326
01-Octubre-2023,36.5336
02-Octubre-2023,36.5346
03-Octubre-2023,36.5356
04-Octubre-2023,36.5366
05-Octubre-2023,36.5376
06-Octubre-2023,36.5386
07-Octubre-2023,36.5395
08-Octubre-2023,36.5405
09-Octubre-2023,36.5415
10-Octubre-2023,36.5425
11-Octubre-2023,36.5435
12-Octubre-2023,36.5445
13-Octubre-2023,36.5455
14-Octubre-2023,36.5465
15-Octubre-2023,36.5475
16-Octubre-2023,36.5485
17-Octubre-2023,36.5495
18-Octubre-2023,36.5505
19-Octubre-2023,36.5515
20-Octubre-2023,36.5525
21-Octubre-2023,36.5535
22-Octubre-2023,36.5545
23-Octubre-2023,36.5555
24-Octubre-2023,36.5565
25-Octubre-2023,36.5575
26-Octubre-2023,36.5585
27-Octubre-2023,36.5595
28-Octubre-2023,36.5605
29-Octubre-2023,36.5615
30-Octubre-2023,36.5625
31-Octubre-2023,36.5635
01-Noviembre-2023,36.5645
02-Noviembre-2023,36.5655
03-Noviembre-2023,36.5665
04-Noviembre-2023,36.5675
05-Noviembre-2023,36.5684
06-Noviembre-2023,36.5694
07-Noviembre-2023,36.5704
08-Noviembre-2023,36.5714
09-Noviembre-2023,36.5724
10-Noviembre-2023,36.5734
11-Noviembre-2023,36.5744
12-Noviembre-2023,36.5754
13-Noviembre-2023,36.5764
14-Noviembre-2023,36.5774
15-Noviembre-2023,36.5784
16-Noviembre-2023,36.5794
17-Noviembre-2023,36.5804
18-Noviembre-2023,36.5814
19-Noviembre-2023,36.5824
20-Noviembre-2023,36.5834
21-Noviembre-2023,36.5844
22-Noviembre-2023,36.5854
23-Noviembre-2023,36.5864
24-Noviembre-2023,36.5874
25-Noviembre-2023,36.5884
26-Noviembre-2023,36.5894
27-Noviembre-2023,36.5904
28-Noviembre-2023,36.5914
29-Noviembre-2023,36.5924
30-Noviembre-2023,36.5934
01-Diciembre-2023,36.5944
02-Diciembre-2023,36.5954
03-Diciembre-2023,36.5964
04-Diciembre-2023,36.5974
05-Diciembre-2023,36.5984
06-Diciembre-2023,36.5994
07-Diciembre-2023,36.6004
08-Diciembre-2023,36.6014
09-Diciembre-2023,36.6024
10-Diciembre-2023,36.6034
11-Diciembre-2023,36.6044
12-Diciembre-2023,36.6054
13-Diciembre-2023,36.6063
14-Diciembre-2023,36.6073
15-Diciembre-2023,36.6083
16-Diciembre-2023,36.6093
17-Diciembre-2023,36.6103
18-Diciembre-2023,36.6113
19-Diciembre-2023,36.6123
20-Diciembre-2023,36.6133
21-Diciembre-2023,36.6143
22-Diciembre-2023,36.6153
23-Diciembre-2023,36.6163
24-Diciembre-2023,36.6173
25-Diciembre-2023,36.6183
26-Diciembre-2023,36.6193
27-Diciembre-2023,36.6203
28-Diciembre-2023,36.6213
29-Diciembre-2023,36.6223
30-Diciembre-2023,36.6233
31-Diciembre-2023,36.6243
